GROUP_SET,GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,players_list
Lineups,-202710-1626179-1628418-1629312-1629639-,J. Butler - T. Rozier - T. Bryant - H. Highsmith - T. Herro,2,1,1,0.5,2.6,2.0,4.5,0.444,0.5,0.5,1.0,0.0,0.0,0.0,0.5,1.5,2.0,2.0,1.0,0.0,0.0,1.0,0.5,0.0,4.5,-3.0,"'J. Butler', 'T. Rozier', 'T. Bryant', 'H. Highsmith', 'T. Herro'"
Lineups,-1626196-1628389-1628997-1629312-1629639-,J. Richardson - B. Adebayo - C. Martin - H. Highsmith - T. Herro,1,0,1,0.0,2.6,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,"'J. Richardson', 'B. Adebayo', 'C. Martin', 'H. Highsmith', 'T. Herro'"
Lineups,-201567-1628997-1629130-1631170-1631288-,K. Love - C. Martin - D. Robinson - J. Jaquez Jr. - J. Cain,2,1,1,0.5,2.6,2.0,4.5,0.444,0.0,2.0,0.0,0.5,1.0,0.5,0.5,1.5,2.0,1.0,0.5,0.5,0.0,0.0,1.0,0.5,4.5,-3.5,"'K. Love', 'C. Martin', 'D. Robinson', 'J. Jaquez Jr.', 'J. Cain'"
Lineups,-201567-202710-1626179-1629130-1629312-,K. Love - J. Butler - T. Rozier - D. Robinson - H. Highsmith,2,0,2,0.0,2.6,0.5,4.0,0.125,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.5,1.5,0.5,1.0,0.0,0.5,1.0,2.5,1.0,2.0,-5.0,"'K. Love', 'J. Butler', 'T. Rozier', 'D. Robinson', 'H. Highsmith'"
Lineups,-1626153-1628389-1629312-1631170-1631306-,D. Wright - B. Adebayo - H. Highsmith - J. Jaquez Jr. - C. Swider,1,1,0,1.0,2.5,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,-8.0,"'D. Wright', 'B. Adebayo', 'H. Highsmith', 'J. Jaquez Jr.', 'C. Swider'"
Lineups,-202710-1626196-1628418-1629312-1630696-,J. Butler - J. Richardson - T. Bryant - H. Highsmith - D. Smith,1,1,0,1.0,2.5,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,"'J. Butler', 'J. Richardson', 'T. Bryant', 'H. Highsmith', 'D. Smith'"
Lineups,-201567-1626196-1628389-1629312-1631170-,K. Love - J. Richardson - B. Adebayo - H. Highsmith - J. Jaquez Jr.,1,1,0,1.0,2.5,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,-10.0,"'K. Love', 'J. Richardson', 'B. Adebayo', 'H. Highsmith', 'J. Jaquez Jr.'"
Lineups,-201567-1626196-1628997-1629130-1629312-,K. Love - J. Richardson - C. Martin - D. Robinson - H. Highsmith,1,1,0,1.0,2.5,1.0,2.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,4.0,-3.0,"'K. Love', 'J. Richardson', 'C. Martin', 'D. Robinson', 'H. Highsmith'"
Lineups,-200768-1626196-1631107-1631170-1631288-,K. Lowry - J. Richardson - N. Jovic - J. Jaquez Jr. - J. Cain,1,0,1,0.0,2.5,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,-4.0,"'K. Lowry', 'J. Richardson', 'N. Jovic', 'J. Jaquez Jr.', 'J. Cain'"
Lineups,-1626196-1628389-1629130-1631107-1631170-,J. Richardson - B. Adebayo - D. Robinson - N. Jovic - J. Jaquez Jr.,3,1,2,0.333,2.4,1.7,4.0,0.417,0.7,2.7,0.25,0.7,1.0,0.667,0.3,2.0,2.3,1.7,1.0,0.0,0.7,0.3,0.3,0.7,4.7,-2.0,"'J. Richardson', 'B. Adebayo', 'D. Robinson', 'N. Jovic', 'J. Jaquez Jr.'"
